Move History P1,Move History P2,Win History,Game History
2,1,1,43
1,0,1,498
1,2,2,459
2,1,1
2,0,2
1,0,1
0,2,1
2,2,0
1,2,2
0,1,2
2,2,0
1,2,2
1,0,1
1,2,2
2,1,1
2,2,0
0,2,1
2,2,0
0,0,0
1,2,2
2,0,2
1,2,2
0,2,1
0,0,0
2,2,0
0,0,0
0,0,0
1,0,1
2,0,2
2,2,0
0,0,0
1,2,2
1,2,2
2,0,2
2,2,0
0,1,2
1,0,1
2,0,2
0,1,2
2,0,2
0,0,0
1,2,2
1,2,2
0,1,2
2,1,1
1,2,2
1,1,0
1,1,0
1,2,2
0,0,0
1,0,1
2,0,2
0,1,2
1,1,0
2,0,2
2,2,0
1,1,0
2,0,2
2,0,2
0,2,1
1,1,0
1,2,2
1,0,1
2,1,1
1,2,2
0,2,1
2,1,1
0,0,0
2,1,1
1,1,0
0,2,1
0,2,1
2,1,1
2,1,1
1,2,2
2,0,2
2,0,2
1,1,0
0,2,1
2,1,1
1,2,2
0,0,0
2,0,2
1,2,2
1,0,1
1,1,0
2,0,2
0,2,1
1,2,2
0,0,0
1,0,1
1,0,1
1,2,2
2,2,0
0,2,1
0,2,1
2,1,1
0,2,1
1,2,2
2,2,0


